task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
35	da/20c670	1707094	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815301)	COMPLETED	0	2021-07-27 22:01:02.562	11.5s	11.4s	18.7%	193.4 MB	984.9 MB	125.4 MB	251.3 MB
55	ab/19159b	1709345	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815309)	COMPLETED	0	2021-07-27 22:01:14.027	10.3s	10.2s	22.8%	229 MB	984.9 MB	142.4 MB	290.7 MB
10	ff/d8e467	1711448	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR1017172)	COMPLETED	0	2021-07-27 22:01:24.344	37.8s	37.7s	37.0%	428.1 MB	984.9 MB	1 GB	2.2 GB
56	ee/441b50	1715800	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815328)	COMPLETED	0	2021-07-27 22:02:02.141	10.8s	10.7s	28.9%	270.8 MB	984.9 MB	193.4 MB	407.3 MB
19	af/4cdbcd	1718263	SRA_FASTQ:SRA_PREFETCH (ERR2815299)	COMPLETED	0	2021-07-27 22:02:12.946	10s	9.9s	6.0%	11.2 MB	19.5 MB	47.2 MB	44.9 MB
23	15/d30d4b	1718864	SRA_FASTQ:SRA_PREFETCH (ERR2815301)	COMPLETED	0	2021-07-27 22:02:22.944	7.2s	7.1s	5.6%	11.2 MB	19.5 MB	32.5 MB	30.1 MB
57	ed/a5f025	1719304	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815329)	COMPLETED	0	2021-07-27 22:02:30.147	13.1s	13.1s	27.5%	277.2 MB	984.9 MB	235.1 MB	503.5 MB
28	d3/60ab9d	1722108	SRA_FASTQ:SRA_PREFETCH (ERR2815304)	COMPLETED	0	2021-07-27 22:02:43.274	8.1s	8.1s	7.2%	11.4 MB	19.5 MB	49.1 MB	46.8 MB
52	a8/d5a9f3	1722600	SRA_FASTQ:SRA_PREFETCH (DRR000001)	COMPLETED	0	2021-07-27 22:02:51.396	36.5s	36.4s	17.5%	11.2 MB	19.5 MB	570.9 MB	568.5 MB
13	05/e4512e	1723531	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR1017173)	COMPLETED	0	2021-07-27 22:03:27.853	24.9s	24.9s	43.8%	436 MB	984.9 MB	809.1 MB	1.7 GB
48	a8/a5dd38	1727456	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815307)	COMPLETED	0	2021-07-27 22:03:52.803	13.8s	13.8s	27.2%	274 MB	984.9 MB	250.3 MB	538.4 MB
7	24/85c0c1	1730495	SRA_FASTQ:SRA_PREFETCH (ERR2815292)	COMPLETED	0	2021-07-27 22:04:06.647	7.4s	7.4s	8.2%	11.3 MB	19.5 MB	52.7 MB	50.3 MB
59	89/edd65e	1730933	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815331)	COMPLETED	0	2021-07-27 22:04:14.099	12.7s	12.6s	20.3%	230.2 MB	984.9 MB	158.7 MB	326.2 MB
2	11/651313	1733370	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815290)	COMPLETED	0	2021-07-27 22:04:26.774	9.4s	9.3s	27.4%	232.4 MB	984.9 MB	154.9 MB	319 MB
44	c6/608d32	1735388	PARALLEL_FASTQ:PARALLEL_FASTQ_DUMP (ERR2815305)	COMPLETED	0	2021-07-27 22:04:36.176	11.9s	11.8s	26.9%	269.8 MB	984.9 MB	204.4 MB	432.7 MB
