task_id	hash	process	tag	name	status	exit	cpus	duration	%cpu	rss	peak_rss	read_bytes
3	86/a62fff	SRA_PREFETCH	ERR2815290	SRA_PREFETCH (ERR2815290)	CACHED	0	1	11641	4.6	11288576	11288576	0
1	1c/a088a2	SRA_PREFETCH	ERR1017172	SRA_PREFETCH (ERR1017172)	CACHED	0	1	41760	6.0	11264000	11264000	88260608
2	5c/fda0f5	SRA_PREFETCH	ERR1017173	SRA_PREFETCH (ERR1017173)	CACHED	0	1	29464	6.6	11141120	11141120	6709248
6	27/55e927	SRA_PREFETCH	ERR2815291	SRA_PREFETCH (ERR2815291)	CACHED	0	1	9580	6.8	11247616	11247616	0
8	2b/c9eba3	SRA_PREFETCH	ERR2815292	SRA_PREFETCH (ERR2815292)	CACHED	0	1	7857	8.2	11235328	11235328	0
9	78/91f63b	SRA_PREFETCH	ERR2815293	SRA_PREFETCH (ERR2815293)	CACHED	0	1	8617	5.3	11190272	11190272	483328
11	3d/d5f02d	SRA_PREFETCH	ERR2815294	SRA_PREFETCH (ERR2815294)	CACHED	0	1	10569	5.9	11079680	11079680	0
13	04/0b6a58	SRA_PREFETCH	ERR2815296	SRA_PREFETCH (ERR2815296)	CACHED	0	1	10492	6.6	11079680	11079680	0
12	76/d501cc	SRA_PREFETCH	ERR2815295	SRA_PREFETCH (ERR2815295)	CACHED	0	1	14816	4.5	11169792	11169792	0
14	9e/794dcc	SRA_PREFETCH	ERR2815297	SRA_PREFETCH (ERR2815297)	CACHED	0	1	14214	3.7	11157504	11157504	0
15	ce/6337c6	SRA_PREFETCH	ERR2815298	SRA_PREFETCH (ERR2815298)	CACHED	0	1	6846	5.8	11202560	11202560	0
7	9e/9f8936	PARALLEL_FASTQ_DUMP_COMPRESS	ERR1017173	PARALLEL_FASTQ_DUMP_COMPRESS (ERR1017173)	CACHED	0	4	10120	349.4	201404416	203616256	876544
5	38/736308	SRA_DUMP	ERR1017173	SRA_DUMP (ERR1017173)	CACHED	0	4	2155	239.4	149340160	153669632	25653248
10	4f/664a48	SRA_DUMP_COMPRESS	ERR1017173	SRA_DUMP_COMPRESS (ERR1017173)	CACHED	0	4	9179	370.0	154382336	159027200	110592
4	f2/373c70	PARALLEL_FASTQ_DUMP	ERR1017173	PARALLEL_FASTQ_DUMP (ERR1017173)	CACHED	0	4	2719	254.9	191574016	191848448	192512
16	7a/6e853f	SRA_PREFETCH	ERR2815299	SRA_PREFETCH (ERR2815299)	CACHED	0	1	8458	5.6	11108352	11108352	0
17	67/1290d6	SRA_PREFETCH	ERR2815300	SRA_PREFETCH (ERR2815300)	CACHED	0	1	11204	3.9	11153408	11153408	0
22	f5/cfbfc0	SRA_PREFETCH	ERR2815301	SRA_PREFETCH (ERR2815301)	CACHED	0	1	6007	7.0	11153408	11153408	0
18	6e/272d0d	SRA_DUMP	ERR1017172	SRA_DUMP (ERR1017172)	CACHED	0	4	2357	276.2	154722304	156708864	520192
21	b0/5e3328	PARALLEL_FASTQ_DUMP_COMPRESS	ERR1017172	PARALLEL_FASTQ_DUMP_COMPRESS (ERR1017172)	CACHED	0	4	13908	321.9	202772480	206643200	729088
20	3f/4e83a2	SRA_DUMP_COMPRESS	ERR1017172	SRA_DUMP_COMPRESS (ERR1017172)	CACHED	0	4	14511	300.7	143425536	156143616	2232320
19	8c/4df056	PARALLEL_FASTQ_DUMP	ERR1017172	PARALLEL_FASTQ_DUMP (ERR1017172)	CACHED	0	4	3311	267.3	186138624	196116480	0
25	08/e4f89a	SRA_PREFETCH	ERR2815303	SRA_PREFETCH (ERR2815303)	CACHED	0	1	8442	5.8	11137024	11137024	0
24	0f/9ced19	SRA_PREFETCH	ERR2815302	SRA_PREFETCH (ERR2815302)	CACHED	0	1	8065	6.7	11415552	11415552	0
23	53/a0a598	SRA_DUMP	ERR2815290	SRA_DUMP (ERR2815290)	CACHED	0	4	940	130.6	11591680	11591680	4096
26	8e/ce53ec	SRA_PREFETCH	ERR2815304	SRA_PREFETCH (ERR2815304)	CACHED	0	1	10780	5.1	10862592	10862592	0
30	35/fdfb7b	SRA_PREFETCH	ERR2815305	SRA_PREFETCH (ERR2815305)	CACHED	0	1	19294	3.2	11091968	11091968	0
28	d1/47f259	PARALLEL_FASTQ_DUMP_COMPRESS	ERR2815290	PARALLEL_FASTQ_DUMP_COMPRESS (ERR2815290)	CACHED	0	4	2669	309.0	176914432	179986432	512000
27	3d/5ed3ef	SRA_DUMP_COMPRESS	ERR2815290	SRA_DUMP_COMPRESS (ERR2815290)	CACHED	0	4	2605	310.8	11370496	11370496	188416
29	2b/65406f	PARALLEL_FASTQ_DUMP	ERR2815290	PARALLEL_FASTQ_DUMP (ERR2815290)	CACHED	0	4	1019	142.9	15593472	15593472	0
31	b0/f9fd11	SRA_DUMP	ERR2815291	SRA_DUMP (ERR2815291)	CACHED	0	4	1133	159.7	11431936	11431936	188416
36	01/e533e0	PARALLEL_FASTQ_DUMP_COMPRESS	ERR2815291	PARALLEL_FASTQ_DUMP_COMPRESS (ERR2815291)	CACHED	0	4	3549	327.8	182771712	182968320	126976
