sample_accession	accession	run_accession	sequencing_method	library_layout	library_strategy	fastq_bytes	fastq_ftp	fastq_md5
SAMEA3540909	SAMEA3540909	ERR1017172	16s	PAIRED	WGS	84420434;107007116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1017172/ERR1017172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1017172/ERR1017172_2.fastq.gz	3726e3ac4045e810512701cc1ab64756;a37076eb13dba61fa99f728dbd6abc09
SAMEA3540910	SAMEA3540910	ERR1017173	16s	PAIRED	WGS	68509837;84496202	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1017173/ERR1017173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1017173/ERR1017173_2.fastq.gz	79c2049ba57b9c9e5154d92ef1c1adff;63a1c7002a82d456afcfd1db46e952ae
SAMEA4946455	SAMEA4946455	ERR2815290	16S	PAIRED	WGS	17042542;20557124	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815290/ERR2815290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815290/ERR2815290_2.fastq.gz	434029267b0b44d22d323bf88bcac716;ba9b68e890aaf771942ed4e0ae5d61f1
SAMEA4946456	SAMEA4946456	ERR2815291	16S	PAIRED	WGS	24147916;28282630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815291/ERR2815291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815291/ERR2815291_2.fastq.gz	039cdcd44441cab0b62b993574726c24;24b0666917b63893ece045fbed09e32e
SAMEA4946457	SAMEA4946457	ERR2815292	16S	PAIRED	WGS	23271708;27180832	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815292/ERR2815292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815292/ERR2815292_2.fastq.gz	453431e3b44f7a9196be4f6944ef7b5e;f0427675d3fae861c8f53f910d5747c4
SAMEA4946458	SAMEA4946458	ERR2815293	16S	PAIRED	WGS	17465085;21254359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815293/ERR2815293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815293/ERR2815293_2.fastq.gz	d0486d4caf52551613d4b8ea97b5e36f;b5c2aa2751ebfca84065f00948235c5a
SAMEA4946459	SAMEA4946459	ERR2815294	16S	PAIRED	WGS	25712027;30047298	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815294/ERR2815294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815294/ERR2815294_2.fastq.gz	94db9694f434a41397b443edb033f265;710f9df9853803f785bbac36a1447668
SAMEA4946460	SAMEA4946460	ERR2815295	16S	PAIRED	WGS	24975446;29326660	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/005/ERR2815295/ERR2815295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/005/ERR2815295/ERR2815295_2.fastq.gz	1ca5399464c33cc0424b92c21c7114e7;c833e93415935d7dd68880c6dc6a5477
SAMEA4946461	SAMEA4946461	ERR2815296	16S	PAIRED	WGS	25512697;30132627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/006/ERR2815296/ERR2815296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/006/ERR2815296/ERR2815296_2.fastq.gz	ea390c7b3c4e7096941e433bfce96578;d2b7056085eb22e2327c51256dda1578
SAMEA4946462	SAMEA4946462	ERR2815297	16S	PAIRED	WGS	17515457;19981362	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/007/ERR2815297/ERR2815297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/007/ERR2815297/ERR2815297_2.fastq.gz	ceea201857bdd39d57a7cdaf2ef14118;ac971aa44e4b15f6c22ef4980ecbe255
SAMEA4946463	SAMEA4946463	ERR2815298	16S	PAIRED	WGS	15940829;19011646	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815298/ERR2815298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815298/ERR2815298_2.fastq.gz	78e9e19f7fd65657837db87657142414;e4b2341ead1a6c519601483363252bf0
SAMEA4946464	SAMEA4946464	ERR2815299	16S	PAIRED	WGS	20207391;23867754	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815299/ERR2815299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815299/ERR2815299_2.fastq.gz	869d71454683bc8ab539619f8574e788;342bd8f555ea03e875c2c05d13bb6a39
SAMEA4946465	SAMEA4946465	ERR2815300	16S	PAIRED	WGS	16421351;19385850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815300/ERR2815300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815300/ERR2815300_2.fastq.gz	9b768c0421b2e2881a2ad5f2842f2fd0;8078da645fbcc38c82039b6bbf3b83f7
SAMEA4946466	SAMEA4946466	ERR2815301	16S	PAIRED	WGS	13593257;16713420	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815301/ERR2815301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815301/ERR2815301_2.fastq.gz	bb017da971367372f5855a5ca56c6bf8;6faf1994742c2dc8c1f5ab0740910242
