sample_accession	accession	run_accession	library_layout	fastq_bytes	fastq_ftp	fastq_md5	sra_bytes	sra_ftp	sra_md5
SAMD00016353	SAMD00016353	DRR000001	PAIRED	442816300;465999888	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000001/DRR000001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000001/DRR000001_2.fastq.gz	b2338de03d085870564ec161e167f547;dcb52eabbe10df75e17d83fa96c45b91			
SAMD00002791	SAMD00002791	DRR000002	PAIRED	331064220;348446921	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000002/DRR000002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000002/DRR000002_2.fastq.gz	81d7e7f16f5e112f5fbd49e540633ba1;0b0ca87c4e84a5a4d3ec2b9186bf166c			
SAMD00013986	SAMD00013986	DRR000003	SINGLE	241940859	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000003/DRR000003.fastq.gz	7ca2962e05c9adf28bd98a05e19f7499			
SAMD00013986	SAMD00013986	DRR000004	SINGLE	228573159	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000004/DRR000004.fastq.gz	8aeedc0d4057395c22b00d1a75005ee1			
SAMD00013986	SAMD00013986	DRR000005	SINGLE	228644159	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000005/DRR000005.fastq.gz	20a7b616936ec98b88b6fd4fbcd127df			
SAMD00013986	SAMD00013986	DRR000006	SINGLE	225672208	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000006/DRR000006.fastq.gz	5cd5d8b23e186f80fd96841876680b25			
SAMD00013986	SAMD00013986	DRR000007	SINGLE	80472081	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000007/DRR000007.fastq.gz	b387dbfdbc84fc9b55a2e76be4906daa			
SAMD00002711	SAMD00002711	DRR000008	SINGLE	779599182	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000008/DRR000008.fastq.gz	0364ffe0e2ffbae51419f73068d8b790			
SAMD00002711	SAMD00002711	DRR000009	SINGLE	692567659	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000009/DRR000009.fastq.gz	63010c672b12fcc82eb87dcd51b13294			
SAMD00002711	SAMD00002711	DRR000010	SINGLE	718861645	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000010/DRR000010.fastq.gz	9353b59cb6fdd9dcfc75eb87017342c4			
SAMD00010993	SAMD00010993	DRR000011	SINGLE	644736592	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000011/DRR000011.fastq.gz	c70c32cbb919dcf4ad9f038185d4b440			
SAMD00010993	SAMD00010993	DRR000012	SINGLE	606732884	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000012/DRR000012.fastq.gz	595eb87055bcfcb97089b0916e54f774			
SAMD00010993	SAMD00010993	DRR000013	SINGLE	625475404	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000013/DRR000013.fastq.gz	f96052803dc874fdf58d72a4e7ab6cf3			
SAMD00000723	SAMD00000723	DRR000014	SINGLE	670400914	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000014/DRR000014.fastq.gz	45b728e744b5aef258fd4c39ac6d1397			
SAMD00000723	SAMD00000723	DRR000015	SINGLE	616500914	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000015/DRR000015.fastq.gz	8f1487cc41f46f2d0de0e7ef9f107e71			
SAMD00000723	SAMD00000723	DRR000016	SINGLE	619766845	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000016/DRR000016.fastq.gz	b27f6724592b373c0960571d07899834			
SAMD00003005	SAMD00003005	DRR000017	SINGLE	781246976	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000017/DRR000017.fastq.gz	036d510c879616079ee66d9fe1e800d5			
SAMD00003106	SAMD00003106	DRR000018	SINGLE	449032051	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000018/DRR000018.fastq.gz	c5f9335c96bfd3827d7c30cf0273919a			
SAMD00010984	SAMD00010984	DRR000019	SINGLE	2436493	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000019/DRR000019.fastq.gz	f3ea324debe0fc580a0a65dce671be89			
SAMD00010984	SAMD00010984	DRR000020	SINGLE	106989363	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000020/DRR000020.fastq.gz	2dfb6daed5f41ade2b74af4dcc392eb1			
SAMD00010984	SAMD00010984	DRR000021	SINGLE	109443546	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000021/DRR000021.fastq.gz	68222216bc68d3d3412669d4252bf333			
SAMD00009497	SAMD00009497	DRR000022	SINGLE	578284496	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000022/DRR000022.fastq.gz	d5edf1595650a9bddfc1308bad4d55e2			
SAMD00009497	SAMD00009497	DRR000023	SINGLE	534312642	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000023/DRR000023.fastq.gz	e377775bc23ffb9e3caa8a80e00c975a			
SAMD00009497	SAMD00009497	DRR000024	SINGLE	928699963	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000024/DRR000024.fastq.gz	89df834db5546c97703f1296a44cb368			
SAMD00009497	SAMD00009497	DRR000025	SINGLE	1109199878	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000025/DRR000025.fastq.gz	7b6331931aeae45cb18d5338634c15e2			
SAMD00009497	SAMD00009497	DRR000026	SINGLE	1138945352	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000026/DRR000026.fastq.gz	4acb91f6cd62e880b3c168089b438950			
SAMD00009497	SAMD00009497	DRR000027	SINGLE	1293960015	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000027/DRR000027.fastq.gz	f550f91fb8ce4bdea5368471729d179e			
SAMD00009497	SAMD00009497	DRR000028	SINGLE	964681588	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000028/DRR000028.fastq.gz	cfaf46b47fe8aa3899621ef40d593616			
SAMD00009497	SAMD00009497	DRR000029	SINGLE	1296930332	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000029/DRR000029.fastq.gz	3c0785e6fff55b34b726a19ace5d6578			
SAMD00009497	SAMD00009497	DRR000030	SINGLE	953449390	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000030/DRR000030.fastq.gz	f1926142b881e735cd719986c1c54294			
SAMD00009330	SAMD00009330	DRR000031	SINGLE	137930658	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000031/DRR000031.fastq.gz	06ccf33b59cf2dd7df9852439ae2b819			
SAMD00003753	SAMD00003753	DRR000032	SINGLE	142628954	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000032/DRR000032.fastq.gz	eb64e1fadb427895445759893bc6005c			
SAMD00009390	SAMD00009390	DRR000033	SINGLE	151730404	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000033/DRR000033.fastq.gz	6cc79b5271203984b9540574c35cfe04			
SAMD00009104	SAMD00009104	DRR000034	SINGLE	158306630	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000034/DRR000034.fastq.gz	97a3fb5b75cb7adb5dd5f829151f6806			
SAMD00015936	SAMD00015936	DRR000035	SINGLE	149788822	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000035/DRR000035.fastq.gz	82f0577a6627f8ffa580e31289450347			
SAMD00015699	SAMD00015699	DRR000036	SINGLE	116819002	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000036/DRR000036.fastq.gz	4e9f3e14d82877ec1243294b7e0a6abc			
SAMD00010639	SAMD00010639	DRR000037	SINGLE	176739714;205257112	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000037/DRR000037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000037/DRR000037_2.fastq.gz	72ee20aef91aba3a01b3721a2fd4fec1;47bb7b224d3a1d29a928a61892d1167a			
SAMD00010639	SAMD00010639	DRR000038	SINGLE	177069581;206863301	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000038/DRR000038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000038/DRR000038_2.fastq.gz	ed638c25e69319b717d002292970f312;2a0f71e2cfe00995ee8129a96650e4bc			
SAMD00010639	SAMD00010639	DRR000039	SINGLE	182547848;208523452	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000039/DRR000039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000039/DRR000039_2.fastq.gz	b40f36d367046a39d1d624552c4a6ece;9c90bb835ebb8c22e63d6e8529edbe93			
