sample_accession	accession	run_accession	sequencing_method	library_layout	library_strategy	fastq_bytes	fastq_ftp	fastq_md5
SAMEA7370538	SAMEA7370538	ERR4648980	16s	SINGLE	WGS	5078982	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/000/ERR4648980/ERR4648980.fastq.gz	c21b6d9065f5c5129f731038a90ba014
SAMEA7370737	SAMEA7370737	ERR4648981	16s	SINGLE	WGS	5577871	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/001/ERR4648981/ERR4648981.fastq.gz	6272b196eb3cb70054aba0fd7b3676e7
SAMEA7370738	SAMEA7370738	ERR4648982	16s	SINGLE	WGS	5682275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/002/ERR4648982/ERR4648982.fastq.gz	110127cb2b1302a5296f02f61e5f260e
SAMEA7370739	SAMEA7370739	ERR4648983	16s	SINGLE	WGS	5773454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/003/ERR4648983/ERR4648983.fastq.gz	3a80b3bd252c26c4b7ffe11d75e032c6
SAMEA7370740	SAMEA7370740	ERR4648984	16s	SINGLE	WGS	6080539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/004/ERR4648984/ERR4648984.fastq.gz	8eb84901e1a7d7afcce7a4c8d938b0ae
SAMEA7370741	SAMEA7370741	ERR4648985	16s	SINGLE	WGS	5620228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/005/ERR4648985/ERR4648985.fastq.gz	6cbeabeb48a6402eb1ec0bda306e31fd
SAMEA7370742	SAMEA7370742	ERR4648986	16s	SINGLE	WGS	5019416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/006/ERR4648986/ERR4648986.fastq.gz	e5df78da5a36ba0985dcc6b3d3afffe5
SAMEA7370743	SAMEA7370743	ERR4648987	16s	SINGLE	WGS	5858583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/007/ERR4648987/ERR4648987.fastq.gz	56598d119f5387c9e056c18871c11fc1
SAMEA7370744	SAMEA7370744	ERR4648988	16s	SINGLE	WGS	5077722	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/008/ERR4648988/ERR4648988.fastq.gz	a9d66e081e22381a67773bc32fb8008c
SAMEA7370745	SAMEA7370745	ERR4648989	16s	SINGLE	WGS	4911918	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/009/ERR4648989/ERR4648989.fastq.gz	9bce8f1782e9a4f1725d7e103287cceb
SAMEA7370746	SAMEA7370746	ERR4648990	16s	SINGLE	WGS	5924969	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/000/ERR4648990/ERR4648990.fastq.gz	3f0f56c4e93da866f4aa1e871bf2ceec
SAMEA7370747	SAMEA7370747	ERR4648991	16s	SINGLE	WGS	6262541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/001/ERR4648991/ERR4648991.fastq.gz	e34fe7407c76777943d56adb8503ec5a
SAMEA7370748	SAMEA7370748	ERR4648992	16s	SINGLE	WGS	6024659	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/002/ERR4648992/ERR4648992.fastq.gz	72c65358489a0ed4dc11824650b79fa2
SAMEA7370749	SAMEA7370749	ERR4648993	16s	SINGLE	WGS	5959012	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/003/ERR4648993/ERR4648993.fastq.gz	360853767ed301f45e3aadf6937ff78f
SAMEA7370750	SAMEA7370750	ERR4648994	16s	SINGLE	WGS	5696516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/004/ERR4648994/ERR4648994.fastq.gz	00fb6ae32b404cd888ca0fc0442200d1
SAMEA7370751	SAMEA7370751	ERR4648995	16s	SINGLE	WGS	5400035	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/005/ERR4648995/ERR4648995.fastq.gz	d243dc9d5afee8d6cc09efccb012d534
SAMEA7370752	SAMEA7370752	ERR4648996	16s	SINGLE	WGS	5754993	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/006/ERR4648996/ERR4648996.fastq.gz	6f9ef6183a965bd00cc8082dc998074d
SAMEA7370753	SAMEA7370753	ERR4648997	16s	SINGLE	WGS	5565266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/007/ERR4648997/ERR4648997.fastq.gz	6876e6c54b20b77e3e42f1dc0c118aa4
SAMEA7370755	SAMEA7370755	ERR4648999	16s	SINGLE	WGS	5514262	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/009/ERR4648999/ERR4648999.fastq.gz	95b6596d0acb429610a170010faa525b
SAMEA7370756	SAMEA7370756	ERR4649000	16s	SINGLE	WGS	6132090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/000/ERR4649000/ERR4649000.fastq.gz	ca339fb6b00141606a9b123c2ba6fb67
SAMEA7370757	SAMEA7370757	ERR4649001	16s	SINGLE	WGS	5440171	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/001/ERR4649001/ERR4649001.fastq.gz	164195946b9352ecb9aaf1c08d6d4e62
SAMEA7370758	SAMEA7370758	ERR4649002	16s	SINGLE	WGS	5622040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/002/ERR4649002/ERR4649002.fastq.gz	c9ee8eb0522f7032054454b6b03497a5
SAMEA7370759	SAMEA7370759	ERR4649003	16s	SINGLE	WGS	5789376	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/003/ERR4649003/ERR4649003.fastq.gz	da58613f000d8e01983afa67ffeee338
SAMEA7370760	SAMEA7370760	ERR4649004	16s	SINGLE	WGS	5040502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/004/ERR4649004/ERR4649004.fastq.gz	10d81a6e506d553cb55c0a709f523163
SAMEA7370761	SAMEA7370761	ERR4649005	16s	SINGLE	WGS	6995165	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/005/ERR4649005/ERR4649005.fastq.gz	edee9e1df34616a3edae3b69a6df1a9e
SAMEA7370762	SAMEA7370762	ERR4649006	16s	SINGLE	WGS	6179810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/006/ERR4649006/ERR4649006.fastq.gz	8a013e85809674d8b2901851cab5f519
SAMEA7370763	SAMEA7370763	ERR4649007	16s	SINGLE	WGS			
SAMEA7370764	SAMEA7370764	ERR4649008	16s	SINGLE	WGS	5386948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR464/008/ERR4649008/ERR4649008.fastq.gz	da90ddc6e9b96d6c19962f8720652a91
