sample_accession	accession	run_accession	instrument_platform	sequencing_method	library_layout	library_selection	library_strategy	fastq_bytes	fastq_ftp	fastq_md5
SAMD00009497	SAMD00009497	DRR000022	ILLUMINA		SINGLE	RANDOM	WGS	578284496	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000022/DRR000022.fastq.gz	d5edf1595650a9bddfc1308bad4d55e2
SAMD00009497	SAMD00009497	DRR000023	ILLUMINA		SINGLE	RANDOM	WGS	534312642	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000023/DRR000023.fastq.gz	e377775bc23ffb9e3caa8a80e00c975a
SAMD00009497	SAMD00009497	DRR000024	ILLUMINA		SINGLE	RANDOM	WGS	928699963	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000024/DRR000024.fastq.gz	89df834db5546c97703f1296a44cb368
SAMD00009497	SAMD00009497	DRR000025	ILLUMINA		SINGLE	RANDOM	WGS	1109199878	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000025/DRR000025.fastq.gz	7b6331931aeae45cb18d5338634c15e2
SAMD00009497	SAMD00009497	DRR000026	ILLUMINA		SINGLE	RANDOM	WGS	1138945352	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000026/DRR000026.fastq.gz	4acb91f6cd62e880b3c168089b438950
SAMD00009497	SAMD00009497	DRR000027	ILLUMINA		SINGLE	RANDOM	WGS	1293960015	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000027/DRR000027.fastq.gz	f550f91fb8ce4bdea5368471729d179e
SAMD00009497	SAMD00009497	DRR000028	ILLUMINA		SINGLE	RANDOM	WGS	964681588	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000028/DRR000028.fastq.gz	cfaf46b47fe8aa3899621ef40d593616
SAMD00009497	SAMD00009497	DRR000029	ILLUMINA		SINGLE	RANDOM	WGS	1296930332	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000029/DRR000029.fastq.gz	3c0785e6fff55b34b726a19ace5d6578
SAMD00009497	SAMD00009497	DRR000030	ILLUMINA		SINGLE	RANDOM	WGS	953449390	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000030/DRR000030.fastq.gz	f1926142b881e735cd719986c1c54294
SAMD00002596	SAMD00002596	DRR000091	ILLUMINA		SINGLE	RANDOM	WGS	2758617968	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000091/DRR000091.fastq.gz	b4355e7284295f3f5505dfd89e31638b
